name,original_path,encoded_path
makuhita,pokemon\images\makuhita.png,pokemon_distorted\makuhita.png
malamar,pokemon\images\malamar.png,pokemon_distorted\malamar.png
mamoswine,pokemon\images\mamoswine.png,pokemon_distorted\mamoswine.png
manaphy,pokemon\images\manaphy.png,pokemon_distorted\manaphy.png
mandibuzz,pokemon\images\mandibuzz.png,pokemon_distorted\mandibuzz.png
manectric,pokemon\images\manectric.png,pokemon_distorted\manectric.png
mankey,pokemon\images\mankey.png,pokemon_distorted\mankey.png
mantine,pokemon\images\mantine.png,pokemon_distorted\mantine.png
mantyke,pokemon\images\mantyke.png,pokemon_distorted\mantyke.png
maractus,pokemon\images\maractus.png,pokemon_distorted\maractus.png
mareanie,pokemon\images\mareanie.png,pokemon_distorted\mareanie.png
mareep,pokemon\images\mareep.png,pokemon_distorted\mareep.png
marill,pokemon\images\marill.png,pokemon_distorted\marill.png
marowak,pokemon\images\marowak.png,pokemon_distorted\marowak.png
marshadow,pokemon\images\marshadow.png,pokemon_distorted\marshadow.png
marshtomp,pokemon\images\marshtomp.png,pokemon_distorted\marshtomp.png
masquerain,pokemon\images\masquerain.png,pokemon_distorted\masquerain.png
mawile,pokemon\images\mawile.png,pokemon_distorted\mawile.png
medicham,pokemon\images\medicham.png,pokemon_distorted\medicham.png
meditite,pokemon\images\meditite.png,pokemon_distorted\meditite.png
meganium,pokemon\images\meganium.png,pokemon_distorted\meganium.png
melmetal,pokemon\images\melmetal.png,pokemon_distorted\melmetal.png
meloetta-aria,pokemon\images\meloetta-aria.png,pokemon_distorted\meloetta-aria.png
meltan,pokemon\images\meltan.png,pokemon_distorted\meltan.png
meowstic-male,pokemon\images\meowstic-male.png,pokemon_distorted\meowstic-male.png
meowth,pokemon\images\meowth.png,pokemon_distorted\meowth.png
mesprit,pokemon\images\mesprit.png,pokemon_distorted\mesprit.png
metagross,pokemon\images\metagross.png,pokemon_distorted\metagross.png
metang,pokemon\images\metang.png,pokemon_distorted\metang.png
metapod,pokemon\images\metapod.png,pokemon_distorted\metapod.png
mew,pokemon\images\mew.png,pokemon_distorted\mew.png
mewtwo,pokemon\images\mewtwo.png,pokemon_distorted\mewtwo.png
mienfoo,pokemon\images\mienfoo.png,pokemon_distorted\mienfoo.png
mienshao,pokemon\images\mienshao.png,pokemon_distorted\mienshao.png
mightyena,pokemon\images\mightyena.png,pokemon_distorted\mightyena.png
milotic,pokemon\images\milotic.png,pokemon_distorted\milotic.png
miltank,pokemon\images\miltank.png,pokemon_distorted\miltank.png
mime-jr,pokemon\images\mime-jr.png,pokemon_distorted\mime-jr.png
mimikyu,pokemon\images\mimikyu.png,pokemon_distorted\mimikyu.png
minccino,pokemon\images\minccino.png,pokemon_distorted\minccino.png
minior-meteor,pokemon\images\minior-meteor.png,pokemon_distorted\minior-meteor.png
minun,pokemon\images\minun.png,pokemon_distorted\minun.png
misdreavus,pokemon\images\misdreavus.png,pokemon_distorted\misdreavus.png
mismagius,pokemon\images\mismagius.png,pokemon_distorted\mismagius.png
moltres,pokemon\images\moltres.png,pokemon_distorted\moltres.png
monferno,pokemon\images\monferno.png,pokemon_distorted\monferno.png
morelull,pokemon\images\morelull.png,pokemon_distorted\morelull.png
mothim,pokemon\images\mothim.png,pokemon_distorted\mothim.png
mr-mime,pokemon\images\mr-mime.png,pokemon_distorted\mr-mime.png
mudbray,pokemon\images\mudbray.png,pokemon_distorted\mudbray.png
mudkip,pokemon\images\mudkip.png,pokemon_distorted\mudkip.png
mudsdale,pokemon\images\mudsdale.png,pokemon_distorted\mudsdale.png
muk,pokemon\images\muk.png,pokemon_distorted\muk.png
munchlax,pokemon\images\munchlax.png,pokemon_distorted\munchlax.png
munna,pokemon\images\munna.png,pokemon_distorted\munna.png
murkrow,pokemon\images\murkrow.png,pokemon_distorted\murkrow.png
musharna,pokemon\images\musharna.png,pokemon_distorted\musharna.png
naganadel,pokemon\images\naganadel.png,pokemon_distorted\naganadel.png
natu,pokemon\images\natu.png,pokemon_distorted\natu.png
necrozma,pokemon\images\necrozma.png,pokemon_distorted\necrozma.png
nidoking,pokemon\images\nidoking.png,pokemon_distorted\nidoking.png
nidoqueen,pokemon\images\nidoqueen.png,pokemon_distorted\nidoqueen.png
nidoran-f,pokemon\images\nidoran-f.png,pokemon_distorted\nidoran-f.png
nidoran-m,pokemon\images\nidoran-m.png,pokemon_distorted\nidoran-m.png
nidorina,pokemon\images\nidorina.png,pokemon_distorted\nidorina.png
nidorino,pokemon\images\nidorino.png,pokemon_distorted\nidorino.png
nihilego,pokemon\images\nihilego.png,pokemon_distorted\nihilego.png
nincada,pokemon\images\nincada.png,pokemon_distorted\nincada.png
ninetales,pokemon\images\ninetales.png,pokemon_distorted\ninetales.png
ninjask,pokemon\images\ninjask.png,pokemon_distorted\ninjask.png
noctowl,pokemon\images\noctowl.png,pokemon_distorted\noctowl.png
noibat,pokemon\images\noibat.png,pokemon_distorted\noibat.png
noivern,pokemon\images\noivern.png,pokemon_distorted\noivern.png
nosepass,pokemon\images\nosepass.png,pokemon_distorted\nosepass.png
numel,pokemon\images\numel.png,pokemon_distorted\numel.png
nuzleaf,pokemon\images\nuzleaf.png,pokemon_distorted\nuzleaf.png
octillery,pokemon\images\octillery.png,pokemon_distorted\octillery.png
oddish,pokemon\images\oddish.png,pokemon_distorted\oddish.png
omanyte,pokemon\images\omanyte.png,pokemon_distorted\omanyte.png
omastar,pokemon\images\omastar.png,pokemon_distorted\omastar.png
onix,pokemon\images\onix.png,pokemon_distorted\onix.png
oranguru,pokemon\images\oranguru.png,pokemon_distorted\oranguru.png
oricorio-baile,pokemon\images\oricorio-baile.png,pokemon_distorted\oricorio-baile.png
oshawott,pokemon\images\oshawott.png,pokemon_distorted\oshawott.png
pachirisu,pokemon\images\pachirisu.png,pokemon_distorted\pachirisu.png
palkia,pokemon\images\palkia.png,pokemon_distorted\palkia.png
palossand,pokemon\images\palossand.png,pokemon_distorted\palossand.png
palpitoad,pokemon\images\palpitoad.png,pokemon_distorted\palpitoad.png
pancham,pokemon\images\pancham.png,pokemon_distorted\pancham.png
pangoro,pokemon\images\pangoro.png,pokemon_distorted\pangoro.png
panpour,pokemon\images\panpour.png,pokemon_distorted\panpour.png
pansage,pokemon\images\pansage.png,pokemon_distorted\pansage.png
pansear,pokemon\images\pansear.png,pokemon_distorted\pansear.png
paras,pokemon\images\paras.png,pokemon_distorted\paras.png
parasect,pokemon\images\parasect.png,pokemon_distorted\parasect.png
passimian,pokemon\images\passimian.png,pokemon_distorted\passimian.png
patrat,pokemon\images\patrat.png,pokemon_distorted\patrat.png
pawniard,pokemon\images\pawniard.png,pokemon_distorted\pawniard.png
pelipper,pokemon\images\pelipper.png,pokemon_distorted\pelipper.png
persian,pokemon\images\persian.png,pokemon_distorted\persian.png
petilil,pokemon\images\petilil.png,pokemon_distorted\petilil.png
phanpy,pokemon\images\phanpy.png,pokemon_distorted\phanpy.png
phantump,pokemon\images\phantump.png,pokemon_distorted\phantump.png
pheromosa,pokemon\images\pheromosa.png,pokemon_distorted\pheromosa.png
phione,pokemon\images\phione.png,pokemon_distorted\phione.png
pichu,pokemon\images\pichu.png,pokemon_distorted\pichu.png
pidgeot,pokemon\images\pidgeot.png,pokemon_distorted\pidgeot.png
pidgeotto,pokemon\images\pidgeotto.png,pokemon_distorted\pidgeotto.png
pidgey,pokemon\images\pidgey.png,pokemon_distorted\pidgey.png
pidove,pokemon\images\pidove.png,pokemon_distorted\pidove.png
pignite,pokemon\images\pignite.png,pokemon_distorted\pignite.png
pikachu,pokemon\images\pikachu.png,pokemon_distorted\pikachu.png
pikipek,pokemon\images\pikipek.png,pokemon_distorted\pikipek.png
piloswine,pokemon\images\piloswine.png,pokemon_distorted\piloswine.png
pineco,pokemon\images\pineco.png,pokemon_distorted\pineco.png
pinsir,pokemon\images\pinsir.png,pokemon_distorted\pinsir.png
piplup,pokemon\images\piplup.png,pokemon_distorted\piplup.png
plusle,pokemon\images\plusle.png,pokemon_distorted\plusle.png
poipole,pokemon\images\poipole.png,pokemon_distorted\poipole.png
politoed,pokemon\images\politoed.png,pokemon_distorted\politoed.png
poliwag,pokemon\images\poliwag.png,pokemon_distorted\poliwag.png
poliwhirl,pokemon\images\poliwhirl.png,pokemon_distorted\poliwhirl.png
poliwrath,pokemon\images\poliwrath.png,pokemon_distorted\poliwrath.png
ponyta,pokemon\images\ponyta.png,pokemon_distorted\ponyta.png
poochyena,pokemon\images\poochyena.png,pokemon_distorted\poochyena.png
popplio,pokemon\images\popplio.png,pokemon_distorted\popplio.png
porygon,pokemon\images\porygon.png,pokemon_distorted\porygon.png
porygon-z,pokemon\images\porygon-z.png,pokemon_distorted\porygon-z.png
porygon2,pokemon\images\porygon2.png,pokemon_distorted\porygon2.png
primarina,pokemon\images\primarina.png,pokemon_distorted\primarina.png
primeape,pokemon\images\primeape.png,pokemon_distorted\primeape.png
prinplup,pokemon\images\prinplup.png,pokemon_distorted\prinplup.png
probopass,pokemon\images\probopass.png,pokemon_distorted\probopass.png
psyduck,pokemon\images\psyduck.png,pokemon_distorted\psyduck.png
pumpkaboo-average,pokemon\images\pumpkaboo-average.png,pokemon_distorted\pumpkaboo-average.png
pupitar,pokemon\images\pupitar.png,pokemon_distorted\pupitar.png
purrloin,pokemon\images\purrloin.png,pokemon_distorted\purrloin.png
purugly,pokemon\images\purugly.png,pokemon_distorted\purugly.png
pyroar,pokemon\images\pyroar.png,pokemon_distorted\pyroar.png
pyukumuku,pokemon\images\pyukumuku.png,pokemon_distorted\pyukumuku.png
quagsire,pokemon\images\quagsire.png,pokemon_distorted\quagsire.png
quilava,pokemon\images\quilava.png,pokemon_distorted\quilava.png
quilladin,pokemon\images\quilladin.png,pokemon_distorted\quilladin.png
qwilfish,pokemon\images\qwilfish.png,pokemon_distorted\qwilfish.png
raichu,pokemon\images\raichu.png,pokemon_distorted\raichu.png
raikou,pokemon\images\raikou.png,pokemon_distorted\raikou.png
ralts,pokemon\images\ralts.png,pokemon_distorted\ralts.png
rampardos,pokemon\images\rampardos.png,pokemon_distorted\rampardos.png
rapidash,pokemon\images\rapidash.png,pokemon_distorted\rapidash.png
raticate,pokemon\images\raticate.png,pokemon_distorted\raticate.png
rattata,pokemon\images\rattata.png,pokemon_distorted\rattata.png
rayquaza,pokemon\images\rayquaza.png,pokemon_distorted\rayquaza.png
regice,pokemon\images\regice.png,pokemon_distorted\regice.png
regigigas,pokemon\images\regigigas.png,pokemon_distorted\regigigas.png
regirock,pokemon\images\regirock.png,pokemon_distorted\regirock.png
registeel,pokemon\images\registeel.png,pokemon_distorted\registeel.png
relicanth,pokemon\images\relicanth.png,pokemon_distorted\relicanth.png
remoraid,pokemon\images\remoraid.png,pokemon_distorted\remoraid.png
reshiram,pokemon\images\reshiram.png,pokemon_distorted\reshiram.png
reuniclus,pokemon\images\reuniclus.png,pokemon_distorted\reuniclus.png
rhydon,pokemon\images\rhydon.png,pokemon_distorted\rhydon.png
rhyhorn,pokemon\images\rhyhorn.png,pokemon_distorted\rhyhorn.png
rhyperior,pokemon\images\rhyperior.png,pokemon_distorted\rhyperior.png
ribombee,pokemon\images\ribombee.png,pokemon_distorted\ribombee.png
riolu,pokemon\images\riolu.png,pokemon_distorted\riolu.png
rockruff,pokemon\images\rockruff.png,pokemon_distorted\rockruff.png
roggenrola,pokemon\images\roggenrola.png,pokemon_distorted\roggenrola.png
roselia,pokemon\images\roselia.png,pokemon_distorted\roselia.png
roserade,pokemon\images\roserade.png,pokemon_distorted\roserade.png
rotom,pokemon\images\rotom.png,pokemon_distorted\rotom.png
rowlet,pokemon\images\rowlet.png,pokemon_distorted\rowlet.png
rufflet,pokemon\images\rufflet.png,pokemon_distorted\rufflet.png
sableye,pokemon\images\sableye.png,pokemon_distorted\sableye.png
salamence,pokemon\images\salamence.png,pokemon_distorted\salamence.png
salandit,pokemon\images\salandit.png,pokemon_distorted\salandit.png
salazzle,pokemon\images\salazzle.png,pokemon_distorted\salazzle.png
samurott,pokemon\images\samurott.png,pokemon_distorted\samurott.png
sandile,pokemon\images\sandile.png,pokemon_distorted\sandile.png
sandshrew,pokemon\images\sandshrew.png,pokemon_distorted\sandshrew.png
sandslash,pokemon\images\sandslash.png,pokemon_distorted\sandslash.png
sandygast,pokemon\images\sandygast.png,pokemon_distorted\sandygast.png
sawk,pokemon\images\sawk.png,pokemon_distorted\sawk.png
sawsbuck,pokemon\images\sawsbuck.png,pokemon_distorted\sawsbuck.png
scatterbug,pokemon\images\scatterbug.png,pokemon_distorted\scatterbug.png
sceptile,pokemon\images\sceptile.png,pokemon_distorted\sceptile.png
scizor,pokemon\images\scizor.png,pokemon_distorted\scizor.png
scolipede,pokemon\images\scolipede.png,pokemon_distorted\scolipede.png
scrafty,pokemon\images\scrafty.png,pokemon_distorted\scrafty.png
scraggy,pokemon\images\scraggy.png,pokemon_distorted\scraggy.png
scyther,pokemon\images\scyther.png,pokemon_distorted\scyther.png
seadra,pokemon\images\seadra.png,pokemon_distorted\seadra.png
seaking,pokemon\images\seaking.png,pokemon_distorted\seaking.png
sealeo,pokemon\images\sealeo.png,pokemon_distorted\sealeo.png
seedot,pokemon\images\seedot.png,pokemon_distorted\seedot.png
seel,pokemon\images\seel.png,pokemon_distorted\seel.png
seismitoad,pokemon\images\seismitoad.png,pokemon_distorted\seismitoad.png
sentret,pokemon\images\sentret.png,pokemon_distorted\sentret.png
serperior,pokemon\images\serperior.png,pokemon_distorted\serperior.png
servine,pokemon\images\servine.png,pokemon_distorted\servine.png
seviper,pokemon\images\seviper.png,pokemon_distorted\seviper.png
sewaddle,pokemon\images\sewaddle.png,pokemon_distorted\sewaddle.png
sharpedo,pokemon\images\sharpedo.png,pokemon_distorted\sharpedo.png
shaymin-land,pokemon\images\shaymin-land.png,pokemon_distorted\shaymin-land.png
shedinja,pokemon\images\shedinja.png,pokemon_distorted\shedinja.png
shelgon,pokemon\images\shelgon.png,pokemon_distorted\shelgon.png
shellder,pokemon\images\shellder.png,pokemon_distorted\shellder.png
shellos,pokemon\images\shellos.png,pokemon_distorted\shellos.png
shelmet,pokemon\images\shelmet.png,pokemon_distorted\shelmet.png
shieldon,pokemon\images\shieldon.png,pokemon_distorted\shieldon.png
shiftry,pokemon\images\shiftry.png,pokemon_distorted\shiftry.png
shiinotic,pokemon\images\shiinotic.png,pokemon_distorted\shiinotic.png
shinx,pokemon\images\shinx.png,pokemon_distorted\shinx.png
shroomish,pokemon\images\shroomish.png,pokemon_distorted\shroomish.png
shuckle,pokemon\images\shuckle.png,pokemon_distorted\shuckle.png
shuppet,pokemon\images\shuppet.png,pokemon_distorted\shuppet.png
sigilyph,pokemon\images\sigilyph.png,pokemon_distorted\sigilyph.png
silcoon,pokemon\images\silcoon.png,pokemon_distorted\silcoon.png
silvally,pokemon\images\silvally.png,pokemon_distorted\silvally.png
simipour,pokemon\images\simipour.png,pokemon_distorted\simipour.png
simisage,pokemon\images\simisage.png,pokemon_distorted\simisage.png
simisear,pokemon\images\simisear.png,pokemon_distorted\simisear.png
skarmory,pokemon\images\skarmory.png,pokemon_distorted\skarmory.png
skiddo,pokemon\images\skiddo.png,pokemon_distorted\skiddo.png
skiploom,pokemon\images\skiploom.png,pokemon_distorted\skiploom.png
skitty,pokemon\images\skitty.png,pokemon_distorted\skitty.png
skorupi,pokemon\images\skorupi.png,pokemon_distorted\skorupi.png
skrelp,pokemon\images\skrelp.png,pokemon_distorted\skrelp.png
skuntank,pokemon\images\skuntank.png,pokemon_distorted\skuntank.png
slaking,pokemon\images\slaking.png,pokemon_distorted\slaking.png
slakoth,pokemon\images\slakoth.png,pokemon_distorted\slakoth.png
sliggoo,pokemon\images\sliggoo.png,pokemon_distorted\sliggoo.png
slowbro,pokemon\images\slowbro.png,pokemon_distorted\slowbro.png
slowking,pokemon\images\slowking.png,pokemon_distorted\slowking.png
slowpoke,pokemon\images\slowpoke.png,pokemon_distorted\slowpoke.png
slugma,pokemon\images\slugma.png,pokemon_distorted\slugma.png
slurpuff,pokemon\images\slurpuff.png,pokemon_distorted\slurpuff.png
smeargle,pokemon\images\smeargle.png,pokemon_distorted\smeargle.png
smoochum,pokemon\images\smoochum.png,pokemon_distorted\smoochum.png
sneasel,pokemon\images\sneasel.png,pokemon_distorted\sneasel.png
snivy,pokemon\images\snivy.png,pokemon_distorted\snivy.png
snorlax,pokemon\images\snorlax.png,pokemon_distorted\snorlax.png
snorunt,pokemon\images\snorunt.png,pokemon_distorted\snorunt.png
snover,pokemon\images\snover.png,pokemon_distorted\snover.png
snubbull,pokemon\images\snubbull.png,pokemon_distorted\snubbull.png
solgaleo,pokemon\images\solgaleo.png,pokemon_distorted\solgaleo.png
solosis,pokemon\images\solosis.png,pokemon_distorted\solosis.png
solrock,pokemon\images\solrock.png,pokemon_distorted\solrock.png
spearow,pokemon\images\spearow.png,pokemon_distorted\spearow.png
spewpa,pokemon\images\spewpa.png,pokemon_distorted\spewpa.png
spheal,pokemon\images\spheal.png,pokemon_distorted\spheal.png
spinarak,pokemon\images\spinarak.png,pokemon_distorted\spinarak.png
spinda,pokemon\images\spinda.png,pokemon_distorted\spinda.png
spiritomb,pokemon\images\spiritomb.png,pokemon_distorted\spiritomb.png
spoink,pokemon\images\spoink.png,pokemon_distorted\spoink.png
spritzee,pokemon\images\spritzee.png,pokemon_distorted\spritzee.png
squirtle,pokemon\images\squirtle.png,pokemon_distorted\squirtle.png
stakataka,pokemon\images\stakataka.png,pokemon_distorted\stakataka.png
stantler,pokemon\images\stantler.png,pokemon_distorted\stantler.png
staraptor,pokemon\images\staraptor.png,pokemon_distorted\staraptor.png
staravia,pokemon\images\staravia.png,pokemon_distorted\staravia.png
starly,pokemon\images\starly.png,pokemon_distorted\starly.png
starmie,pokemon\images\starmie.png,pokemon_distorted\starmie.png
staryu,pokemon\images\staryu.png,pokemon_distorted\staryu.png
steelix,pokemon\images\steelix.png,pokemon_distorted\steelix.png
steenee,pokemon\images\steenee.png,pokemon_distorted\steenee.png
stoutland,pokemon\images\stoutland.png,pokemon_distorted\stoutland.png
stufful,pokemon\images\stufful.png,pokemon_distorted\stufful.png
stunfisk,pokemon\images\stunfisk.png,pokemon_distorted\stunfisk.png
stunky,pokemon\images\stunky.png,pokemon_distorted\stunky.png
sudowoodo,pokemon\images\sudowoodo.png,pokemon_distorted\sudowoodo.png
suicune,pokemon\images\suicune.png,pokemon_distorted\suicune.png
sunflora,pokemon\images\sunflora.png,pokemon_distorted\sunflora.png
sunkern,pokemon\images\sunkern.png,pokemon_distorted\sunkern.png
surskit,pokemon\images\surskit.png,pokemon_distorted\surskit.png
swablu,pokemon\images\swablu.png,pokemon_distorted\swablu.png
swadloon,pokemon\images\swadloon.png,pokemon_distorted\swadloon.png
swalot,pokemon\images\swalot.png,pokemon_distorted\swalot.png
swampert,pokemon\images\swampert.png,pokemon_distorted\swampert.png
swanna,pokemon\images\swanna.png,pokemon_distorted\swanna.png
swellow,pokemon\images\swellow.png,pokemon_distorted\swellow.png
swinub,pokemon\images\swinub.png,pokemon_distorted\swinub.png
swirlix,pokemon\images\swirlix.png,pokemon_distorted\swirlix.png
swoobat,pokemon\images\swoobat.png,pokemon_distorted\swoobat.png
sylveon,pokemon\images\sylveon.png,pokemon_distorted\sylveon.png
taillow,pokemon\images\taillow.png,pokemon_distorted\taillow.png
talonflame,pokemon\images\talonflame.png,pokemon_distorted\talonflame.png
tangela,pokemon\images\tangela.png,pokemon_distorted\tangela.png
tangrowth,pokemon\images\tangrowth.png,pokemon_distorted\tangrowth.png
tapu-bulu,pokemon\images\tapu-bulu.png,pokemon_distorted\tapu-bulu.png
tapu-fini,pokemon\images\tapu-fini.png,pokemon_distorted\tapu-fini.png
tapu-koko,pokemon\images\tapu-koko.png,pokemon_distorted\tapu-koko.png
tapu-lele,pokemon\images\tapu-lele.png,pokemon_distorted\tapu-lele.png
tauros,pokemon\images\tauros.png,pokemon_distorted\tauros.png
teddiursa,pokemon\images\teddiursa.png,pokemon_distorted\teddiursa.png
tentacool,pokemon\images\tentacool.png,pokemon_distorted\tentacool.png
tentacruel,pokemon\images\tentacruel.png,pokemon_distorted\tentacruel.png
tepig,pokemon\images\tepig.png,pokemon_distorted\tepig.png
terrakion,pokemon\images\terrakion.png,pokemon_distorted\terrakion.png
throh,pokemon\images\throh.png,pokemon_distorted\throh.png
thundurus-incarnate,pokemon\images\thundurus-incarnate.png,pokemon_distorted\thundurus-incarnate.png
timburr,pokemon\images\timburr.png,pokemon_distorted\timburr.png
tirtouga,pokemon\images\tirtouga.png,pokemon_distorted\tirtouga.png
togedemaru,pokemon\images\togedemaru.png,pokemon_distorted\togedemaru.png
togekiss,pokemon\images\togekiss.png,pokemon_distorted\togekiss.png
togepi,pokemon\images\togepi.png,pokemon_distorted\togepi.png
togetic,pokemon\images\togetic.png,pokemon_distorted\togetic.png
torchic,pokemon\images\torchic.png,pokemon_distorted\torchic.png
torkoal,pokemon\images\torkoal.png,pokemon_distorted\torkoal.png
tornadus-incarnate,pokemon\images\tornadus-incarnate.png,pokemon_distorted\tornadus-incarnate.png
torracat,pokemon\images\torracat.png,pokemon_distorted\torracat.png
torterra,pokemon\images\torterra.png,pokemon_distorted\torterra.png
totodile,pokemon\images\totodile.png,pokemon_distorted\totodile.png
toucannon,pokemon\images\toucannon.png,pokemon_distorted\toucannon.png
toxapex,pokemon\images\toxapex.png,pokemon_distorted\toxapex.png
toxicroak,pokemon\images\toxicroak.png,pokemon_distorted\toxicroak.png
tranquill,pokemon\images\tranquill.png,pokemon_distorted\tranquill.png
trapinch,pokemon\images\trapinch.png,pokemon_distorted\trapinch.png
treecko,pokemon\images\treecko.png,pokemon_distorted\treecko.png
trevenant,pokemon\images\trevenant.png,pokemon_distorted\trevenant.png
tropius,pokemon\images\tropius.png,pokemon_distorted\tropius.png
trubbish,pokemon\images\trubbish.png,pokemon_distorted\trubbish.png
trumbeak,pokemon\images\trumbeak.png,pokemon_distorted\trumbeak.png
tsareena,pokemon\images\tsareena.png,pokemon_distorted\tsareena.png
turtonator,pokemon\images\turtonator.png,pokemon_distorted\turtonator.png
turtwig,pokemon\images\turtwig.png,pokemon_distorted\turtwig.png
tympole,pokemon\images\tympole.png,pokemon_distorted\tympole.png
tynamo,pokemon\images\tynamo.png,pokemon_distorted\tynamo.png
type-null,pokemon\images\type-null.png,pokemon_distorted\type-null.png
typhlosion,pokemon\images\typhlosion.png,pokemon_distorted\typhlosion.png
tyranitar,pokemon\images\tyranitar.png,pokemon_distorted\tyranitar.png
tyrantrum,pokemon\images\tyrantrum.png,pokemon_distorted\tyrantrum.png
tyrogue,pokemon\images\tyrogue.png,pokemon_distorted\tyrogue.png
tyrunt,pokemon\images\tyrunt.png,pokemon_distorted\tyrunt.png
umbreon,pokemon\images\umbreon.png,pokemon_distorted\umbreon.png
unfezant,pokemon\images\unfezant.png,pokemon_distorted\unfezant.png
unown,pokemon\images\unown.png,pokemon_distorted\unown.png
ursaring,pokemon\images\ursaring.png,pokemon_distorted\ursaring.png
uxie,pokemon\images\uxie.png,pokemon_distorted\uxie.png
vanillish,pokemon\images\vanillish.png,pokemon_distorted\vanillish.png
vanillite,pokemon\images\vanillite.png,pokemon_distorted\vanillite.png
vanilluxe,pokemon\images\vanilluxe.png,pokemon_distorted\vanilluxe.png
vaporeon,pokemon\images\vaporeon.png,pokemon_distorted\vaporeon.png
venipede,pokemon\images\venipede.png,pokemon_distorted\venipede.png
venomoth,pokemon\images\venomoth.png,pokemon_distorted\venomoth.png
venonat,pokemon\images\venonat.png,pokemon_distorted\venonat.png
venusaur,pokemon\images\venusaur.png,pokemon_distorted\venusaur.png
vespiquen,pokemon\images\vespiquen.png,pokemon_distorted\vespiquen.png
vibrava,pokemon\images\vibrava.png,pokemon_distorted\vibrava.png
victini,pokemon\images\victini.png,pokemon_distorted\victini.png
victreebel,pokemon\images\victreebel.png,pokemon_distorted\victreebel.png
vigoroth,pokemon\images\vigoroth.png,pokemon_distorted\vigoroth.png
vikavolt,pokemon\images\vikavolt.png,pokemon_distorted\vikavolt.png
vileplume,pokemon\images\vileplume.png,pokemon_distorted\vileplume.png
virizion,pokemon\images\virizion.png,pokemon_distorted\virizion.png
vivillon,pokemon\images\vivillon.png,pokemon_distorted\vivillon.png
volbeat,pokemon\images\volbeat.png,pokemon_distorted\volbeat.png
volcanion,pokemon\images\volcanion.png,pokemon_distorted\volcanion.png
volcarona,pokemon\images\volcarona.png,pokemon_distorted\volcarona.png
voltorb,pokemon\images\voltorb.png,pokemon_distorted\voltorb.png
vullaby,pokemon\images\vullaby.png,pokemon_distorted\vullaby.png
vulpix,pokemon\images\vulpix.png,pokemon_distorted\vulpix.png
wailmer,pokemon\images\wailmer.png,pokemon_distorted\wailmer.png
wailord,pokemon\images\wailord.png,pokemon_distorted\wailord.png
walrein,pokemon\images\walrein.png,pokemon_distorted\walrein.png
wartortle,pokemon\images\wartortle.png,pokemon_distorted\wartortle.png
watchog,pokemon\images\watchog.png,pokemon_distorted\watchog.png
weavile,pokemon\images\weavile.png,pokemon_distorted\weavile.png
weedle,pokemon\images\weedle.png,pokemon_distorted\weedle.png
weepinbell,pokemon\images\weepinbell.png,pokemon_distorted\weepinbell.png
weezing,pokemon\images\weezing.png,pokemon_distorted\weezing.png
whimsicott,pokemon\images\whimsicott.png,pokemon_distorted\whimsicott.png
whirlipede,pokemon\images\whirlipede.png,pokemon_distorted\whirlipede.png
whiscash,pokemon\images\whiscash.png,pokemon_distorted\whiscash.png
whismur,pokemon\images\whismur.png,pokemon_distorted\whismur.png
wigglytuff,pokemon\images\wigglytuff.png,pokemon_distorted\wigglytuff.png
wimpod,pokemon\images\wimpod.png,pokemon_distorted\wimpod.png
wingull,pokemon\images\wingull.png,pokemon_distorted\wingull.png
wishiwashi-solo,pokemon\images\wishiwashi-solo.png,pokemon_distorted\wishiwashi-solo.png
wobbuffet,pokemon\images\wobbuffet.png,pokemon_distorted\wobbuffet.png
woobat,pokemon\images\woobat.png,pokemon_distorted\woobat.png
wooper,pokemon\images\wooper.png,pokemon_distorted\wooper.png
wormadam-plant,pokemon\images\wormadam-plant.png,pokemon_distorted\wormadam-plant.png
wurmple,pokemon\images\wurmple.png,pokemon_distorted\wurmple.png
wynaut,pokemon\images\wynaut.png,pokemon_distorted\wynaut.png
xatu,pokemon\images\xatu.png,pokemon_distorted\xatu.png
xerneas,pokemon\images\xerneas.png,pokemon_distorted\xerneas.png
xurkitree,pokemon\images\xurkitree.png,pokemon_distorted\xurkitree.png
yamask,pokemon\images\yamask.png,pokemon_distorted\yamask.png
yanma,pokemon\images\yanma.png,pokemon_distorted\yanma.png
yanmega,pokemon\images\yanmega.png,pokemon_distorted\yanmega.png
yungoos,pokemon\images\yungoos.png,pokemon_distorted\yungoos.png
yveltal,pokemon\images\yveltal.png,pokemon_distorted\yveltal.png
zangoose,pokemon\images\zangoose.png,pokemon_distorted\zangoose.png
zapdos,pokemon\images\zapdos.png,pokemon_distorted\zapdos.png
zebstrika,pokemon\images\zebstrika.png,pokemon_distorted\zebstrika.png
zekrom,pokemon\images\zekrom.png,pokemon_distorted\zekrom.png
zeraora,pokemon\images\zeraora.png,pokemon_distorted\zeraora.png
zigzagoon,pokemon\images\zigzagoon.png,pokemon_distorted\zigzagoon.png
zoroark,pokemon\images\zoroark.png,pokemon_distorted\zoroark.png
zorua,pokemon\images\zorua.png,pokemon_distorted\zorua.png
zubat,pokemon\images\zubat.png,pokemon_distorted\zubat.png
zweilous,pokemon\images\zweilous.png,pokemon_distorted\zweilous.png
zygarde-50,pokemon\images\zygarde-50.png,pokemon_distorted\zygarde-50.png
